subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
5,visual,different_sds,2,1,1,8.787290051,0.135,2,159.1784371,1,5,4
6,visual,different_sds,1,1,1,-5.538009985,0.05,1,358.11656,0,4,2
6,visual,different_sds,1,2,1,7.323328143,0.033,1,246.884331,0,3,1
6,visual,different_sds,1,2,1,-0.878581128,0.135,1,133.6236124,1,3,4
6,visual,different_sds,1,2,0,-9.315357744,0.135,2,253.658648,0,3,4
6,visual,different_sds,2,2,1,25.26580259,0.067,2,168.3244113,1,6,3
6,visual,different_sds,1,1,1,-0.789550213,0.033,1,162.8289642,1,4,1
7,visual,different_sds,1,1,1,-5.61429933,0.033,1,39.56600102,0,4,1
7,visual,different_sds,1,1,1,-0.293632899,0.05,1,206.7964788,1,4,2
7,visual,different_sds,1,2,0,0.187334161,0.067,2,163.6093201,1,3,3
7,visual,different_sds,1,2,1,-0.719712645,0.067,1,211.3672695,1,3,3
7,visual,different_sds,1,1,1,1.92521099,0.05,1,282.7525832,1,4,2
7,visual,different_sds,1,3,1,-0.180375736,0.135,1,296.7866366,1,2,4
8,visual,different_sds,2,2,0,1.384355341,0.135,1,56.69858296,0,6,4
8,visual,different_sds,1,2,0,21.0034631,0.05,2,2.249291149,0,3,2
8,visual,different_sds,1,3,1,0.793655719,0.135,1,307.0398401,1,2,4
8,visual,different_sds,2,4,1,-4.815413277,0.05,2,179.7097904,0,8,2
8,visual,different_sds,2,1,1,-6.153206129,0.033,2,186.1440045,1,5,1
8,visual,different_sds,1,1,0,-11.18740191,0.033,2,13.35733309,0,4,1
1,visual,different_sds,1,1,1,1.506223505,0.033,1,21.73603072,1,4,1
1,visual,different_sds,1,1,1,0.351124656,0.033,1,110.3246967,1,4,1
1,visual,different_sds,1,1,0,1.576413221,0.05,2,338.3767534,1,4,2
1,visual,different_sds,2,1,1,4.946014937,0.033,2,70.7560966,0,5,1
1,visual,different_sds,2,1,1,13.71430272,0.135,2,8.420706493,1,5,4
1,visual,different_sds,1,1,0,-18.91573219,0.033,2,358.7655605,0,4,1
2,visual,different_sds,1,2,1,-2.170296303,0.067,1,159.511366,1,3,3
