subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
6,audio,different_sds,1,1,1,2633.945988,4,1,3.705691381,1,4,1
6,audio,different_sds,2,1,0,2943.364556,26,1,38.56697109,1,5,3
7,audio,different_sds,2,1,0,2767.623065,4,1,260.6763875,0,5,1
7,audio,different_sds,2,4,1,3493.917444,55,2,295.7408644,1,8,4
7,audio,different_sds,1,4,1,2708.597541,55,1,220.7091649,1,1,4
7,audio,different_sds,2,2,0,2594.803052,26,1,194.1509929,0,6,3
7,audio,different_sds,2,1,1,2154.21559,4,2,74.41763829,1,5,1
7,audio,different_sds,1,2,1,2639.429623,26,1,62.51794314,1,3,3
8,audio,different_sds,1,1,1,2702.88028,26,1,59.81375281,1,4,3
8,audio,different_sds,1,2,1,2809.001356,26,1,170.9841829,1,3,3
8,audio,different_sds,1,2,0,2429.363153,26,2,156.2189108,0,3,3
8,audio,different_sds,2,1,1,1790.374973,4,2,165.3517772,1,5,1
8,audio,different_sds,2,4,1,3179.503993,26,2,56.0361189,1,8,3
8,audio,different_sds,1,1,1,2549.089885,4,1,128.0189232,1,4,1
1,audio,different_sds,1,2,1,2842.388821,26,1,266.5322296,1,3,3
1,audio,different_sds,1,1,1,2789.968491,4,1,35.29780586,1,4,1
1,audio,different_sds,2,3,1,3296.932834,26,2,215.8662081,1,7,3
1,audio,different_sds,1,1,1,2673.937336,55,1,291.6542734,1,4,4
1,audio,different_sds,1,2,1,2716.744203,55,1,247.199313,1,3,4
1,audio,different_sds,1,1,1,2844.513657,55,1,328.5795809,1,4,4
2,audio,different_sds,1,1,1,2560.769929,4,1,24.57705882,1,4,1
2,audio,different_sds,1,2,1,2623.969301,55,1,1.761090285,1,3,4
2,audio,different_sds,2,4,1,4328.470583,26,2,46.42479402,1,8,3
2,audio,different_sds,1,1,0,2606.810289,9,2,269.1765963,1,4,2
2,audio,different_sds,1,1,1,2848.354854,9,1,199.0257604,1,4,2
2,audio,different_sds,1,2,1,2638.656841,55,1,301.9919958,1,3,4
3,audio,different_sds,1,1,1,2695.997408,9,1,118.3556546,1,4,2
3,audio,different_sds,1,1,0,2715.327297,9,2,64.08010011,1,4,2
3,audio,different_sds,1,1,0,2892.988041,9,2,164.3530635,1,4,2
3,audio,different_sds,1,3,1,2791.573779,55,1,112.2263878,1,2,4
3,audio,different_sds,1,3,0,2844.991894,55,2,151.3630488,1,2,4
3,audio,different_sds,2,1,0,2885.234628,4,1,352.05532,0,5,1
4,audio,different_sds,1,1,0,2908.813359,26,2,237.6573652,1,4,3
4,audio,different_sds,2,3,1,3462.666258,26,2,161.5786554,1,7,3
4,audio,different_sds,2,3,1,2852.402433,26,2,62.98411949,0,7,3
4,audio,different_sds,2,2,1,3321.06096,55,2,230.9192255,1,6,4
4,audio,different_sds,2,1,1,2504.443608,4,2,355.1777333,0,5,1
4,audio,different_sds,2,1,0,2676.507256,9,1,358.0532065,0,5,2
5,audio,different_sds,2,2,1,2602.385873,55,2,129.0577837,0,6,4
5,audio,different_sds,2,1,1,3256.753876,9,2,150.983095,1,5,2
5,audio,different_sds,1,2,1,2671.99094,26,1,288.7400059,1,3,3
5,audio,different_sds,2,1,1,3626.207067,26,2,356.8029897,1,5,3
5,audio,different_sds,1,1,0,3456.639049,26,2,55.53352593,0,4,3
5,audio,different_sds,2,1,1,2873.780454,4,2,37.10350115,0,5,1
6,audio,different_sds,2,2,1,2667.767391,26,2,20.15489704,0,6,3
6,audio,different_sds,2,2,1,2777.683534,55,2,129.9162838,0,6,4
6,audio,different_sds,2,2,1,2876.721255,55,2,298.3673812,0,6,4
6,audio,different_sds,1,2,1,2926.694289,4,1,130.329297,0,3,1
6,audio,different_sds,1,2,1,2470.81536,55,1,202.2598862,0,3,4
6,audio,different_sds,2,2,1,3476.907748,55,2,65.69200535,1,6,4
7,audio,different_sds,2,2,0,2951.904396,26,1,107.9995987,1,6,3
7,audio,different_sds,2,1,0,2867.772189,9,1,15.76115968,0,5,2
7,audio,different_sds,2,1,0,2833.204866,9,1,159.2352471,0,5,2
7,audio,different_sds,1,3,1,2650.684458,55,1,12.19556067,1,2,4
7,audio,different_sds,1,1,1,2554.304594,9,1,133.6220479,1,4,2
7,audio,different_sds,1,4,0,2677.446262,55,2,276.8061137,1,1,4
8,audio,different_sds,1,1,1,2551.39706,26,1,266.893542,1,4,3
8,audio,different_sds,2,1,0,2642.066055,4,1,298.6290104,0,5,1
8,audio,different_sds,2,1,0,2927.07387,4,1,231.4939875,1,5,1
8,audio,different_sds,2,1,0,2893.205809,9,1,121.4956162,0,5,2
8,audio,different_sds,2,1,0,2578.608799,9,1,136.6292303,0,5,2
8,audio,different_sds,2,1,0,2723.795422,4,1,238.9765938,0,5,1
1,audio,different_sds,2,2,0,2603.091987,26,1,120.3918157,0,6,3
1,audio,different_sds,1,1,0,2959.878939,9,2,238.2167378,0,4,2
1,audio,different_sds,2,1,0,2585.736009,9,1,12.12452529,0,5,2
1,audio,different_sds,1,2,1,2836.017729,55,1,55.23942426,1,3,4
1,audio,different_sds,2,1,1,2449.805876,4,2,163.8924841,1,5,1
1,audio,different_sds,1,1,0,2103.120781,4,2,267.8227526,0,4,1
2,audio,different_sds,2,4,1,3699.182813,26,2,237.7457158,1,8,3
2,audio,different_sds,1,2,1,2786.613461,26,1,22.00180804,1,3,3
2,audio,different_sds,1,2,1,2652.49834,26,1,128.7645919,1,3,3
2,audio,different_sds,1,1,1,2676.505076,4,1,282.2077514,1,4,1
2,audio,different_sds,2,3,1,3210.795366,55,2,261.1965531,1,7,4
2,audio,different_sds,1,1,0,3007.169054,4,2,78.7275848,0,4,1
3,audio,different_sds,1,1,0,3184.174892,4,2,158.1549394,0,4,1
3,audio,different_sds,2,4,0,2486.589471,55,1,32.47620271,0,8,4
3,audio,different_sds,2,4,0,2898.640741,26,1,43.88291372,0,8,3
3,audio,different_sds,2,3,1,2649.903954,26,2,260.3335331,0,7,3
3,audio,different_sds,1,3,0,2307.799665,26,2,235.7487571,0,2,3
3,audio,different_sds,2,4,1,4183.882664,26,2,222.3103335,1,8,3
4,audio,different_sds,1,1,1,2395.756303,4,1,290.0978676,0,4,1
4,audio,different_sds,1,1,1,2922.334562,4,1,238.5200011,0,4,1
4,audio,different_sds,2,2,1,2183.92467,9,2,193.7559901,1,6,2
4,audio,different_sds,1,1,1,2696.054153,55,1,306.3249122,1,4,4
4,audio,different_sds,1,2,0,2551.647331,26,2,342.3251679,1,3,3
