subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,resp_buttonid,r
3,visual,different_means,2,4,1,6.926774337,0.135,2,299.7116193,1,4,4,8
3,visual,different_means,2,1,1,-3.10678927,0.033,2,278.8687791,0,1,1,5
3,visual,different_means,2,3,1,-1.224525851,0.067,2,46.44475973,0,3,3,7
3,visual,different_means,2,4,1,5.674778693,0.05,2,256.6922278,1,2,4,8
3,visual,different_means,1,1,0,2.332783879,0.033,2,72.10925291,0,1,-1,4
3,visual,different_means,2,1,0,-1.203419585,0.067,1,250.3980238,0,3,1,5
4,visual,different_means,1,2,1,-2.957827843,0.135,1,115.0408266,1,4,-2,3
4,visual,different_means,1,2,1,-3.984901054,0.135,1,354.3673885,1,4,-2,3
4,visual,different_means,1,1,1,-7.17044875,0.033,1,357.5793587,1,1,-1,4
4,visual,different_means,2,1,1,7.16176307,0.033,2,177.5145239,1,1,1,5
4,visual,different_means,1,1,0,5.549929182,0.067,2,143.0113198,0,3,-1,4
4,visual,different_means,1,2,1,-3.849694485,0.135,1,303.7688123,1,4,-2,3
5,visual,different_means,2,1,0,-0.151814561,0.067,1,133.0467309,0,3,1,5
5,visual,different_means,1,3,1,-6.26567413,0.135,1,327.2975804,1,4,-3,2
5,visual,different_means,1,2,1,-1.55613253,0.05,1,29.3721644,1,2,-2,3
5,visual,different_means,1,1,1,-2.664949432,0.05,1,314.961728,1,2,-1,4
5,visual,different_means,2,2,1,6.145431225,0.135,2,202.2206554,1,4,2,6
5,visual,different_means,2,1,0,-9.889134247,0.033,1,78.46500191,0,1,1,5
6,visual,different_means,1,2,0,-7.462310764,0.067,2,265.611691,1,3,-2,3
6,visual,different_means,2,2,1,3.750991469,0.135,2,102.5245932,1,4,2,6
6,visual,different_means,1,1,1,-7.57817123,0.067,1,199.8835779,1,3,-1,4
6,visual,different_means,1,1,1,-2.393784551,0.05,1,266.5505869,1,2,-1,4
6,visual,different_means,1,1,1,-12.44886005,0.033,1,315.5411119,1,1,-1,4
6,visual,different_means,1,1,1,-0.876494054,0.05,1,130.6360132,1,2,-1,4
7,visual,different_means,1,1,1,3.147318279,0.033,1,20.60939119,0,1,-1,4
7,visual,different_means,2,1,1,-0.09206227,0.05,2,260.0269882,0,2,1,5
7,visual,different_means,2,1,1,0.986549586,0.067,2,327.3342332,1,3,1,5
7,visual,different_means,2,3,1,3.430417214,0.135,2,69.28685565,1,4,3,7
7,visual,different_means,2,1,1,2.489495252,0.067,2,127.2336,1,3,1,5
7,visual,different_means,2,3,1,3.868579035,0.135,2,153.6487254,1,4,3,7
8,visual,different_means,1,2,0,-3.640525763,0.033,2,92.76142777,1,1,-2,3
8,visual,different_means,1,1,0,9.389620366,0.033,2,78.98182707,0,1,-1,4
8,visual,different_means,1,2,1,-11.28000786,0.05,1,47.97924148,1,2,-2,3
8,visual,different_means,1,2,1,5.204159279,0.05,1,33.67244392,0,2,-2,3
8,visual,different_means,1,1,1,-10.03051177,0.033,1,122.9288808,1,1,-1,4
8,visual,different_means,2,1,1,10.22267971,0.033,2,357.1721172,1,1,1,5
1,visual,different_means,1,1,1,-4.419711209,0.05,1,62.59945903,1,2,-1,4
1,visual,different_means,1,1,1,-1.670030947,0.033,1,90.33857164,1,1,-1,4
1,visual,different_means,2,1,1,13.29369083,0.067,2,113.0839085,1,3,1,5
1,visual,different_means,2,1,1,4.994623017,0.067,2,273.3883102,1,3,1,5
1,visual,different_means,1,1,0,-4.106181798,0.033,2,186.8078243,1,1,-1,4
1,visual,different_means,2,1,0,0.930959285,0.067,1,201.9289116,1,3,1,5
2,visual,different_means,2,3,1,14.25265455,0.067,2,148.6881348,1,3,3,7
2,visual,different_means,1,1,0,11.31014427,0.033,2,292.8242566,0,1,-1,4
2,visual,different_means,1,4,1,-8.949113794,0.135,1,79.19004602,1,4,-4,1
2,visual,different_means,1,2,1,-2.449957968,0.135,1,83.13077041,1,4,-2,3
2,visual,different_means,1,1,1,-7.317211053,0.05,1,171.3647855,1,2,-1,4
2,visual,different_means,1,1,0,4.509030992,0.033,2,297.9699292,0,1,-1,4
3,visual,different_means,2,4,1,11.09189434,0.05,2,207.0132454,1,2,4,8
3,visual,different_means,2,4,1,-0.076219436,0.135,2,352.1181731,0,4,4,8
3,visual,different_means,1,3,1,-5.80106024,0.067,1,49.9359928,1,3,-3,2
3,visual,different_means,1,2,1,-8.411357657,0.05,1,91.54834681,1,2,-2,3
3,visual,different_means,2,4,1,1.655273173,0.135,2,88.28353909,1,4,4,8
3,visual,different_means,1,1,1,-10.44235973,0.05,1,82.51946127,1,2,-1,4
4,visual,different_means,2,2,1,7.905133981,0.05,2,315.1936165,1,2,2,6
4,visual,different_means,1,1,1,1.018977321,0.05,1,321.397336,0,2,-1,4
4,visual,different_means,2,2,1,4.48465941,0.067,2,311.7363649,1,3,2,6
4,visual,different_means,1,2,1,-4.669230061,0.135,1,159.3772129,1,4,-2,3
4,visual,different_means,1,3,1,-10.15549072,0.067,1,69.19284854,1,3,-3,2
4,visual,different_means,1,3,1,-7.198418662,0.067,1,332.254955,1,3,-3,2
5,visual,different_means,2,1,0,7.047420858,0.067,1,242.7607714,1,3,1,5
5,visual,different_means,2,3,1,8.969865806,0.05,2,324.1990151,1,2,3,7
5,visual,different_means,1,2,1,-12.0642567,0.067,1,192.7095248,1,3,-2,3
5,visual,different_means,1,3,1,-9.3623305,0.05,1,110.4622061,1,2,-3,2
5,visual,different_means,2,2,1,7.524116639,0.05,2,134.9955952,1,2,2,6
5,visual,different_means,2,3,1,5.245362763,0.135,2,186.2095867,1,4,3,7
6,visual,different_means,1,2,0,-3.923822473,0.033,2,169.5196508,1,1,-2,3
6,visual,different_means,1,2,0,1.710503784,0.033,2,102.9655284,0,1,-2,3
6,visual,different_means,2,2,1,6.033634147,0.05,2,116.5332216,1,2,2,6
6,visual,different_means,2,1,0,4.717201199,0.135,1,174.3500442,1,4,1,5
6,visual,different_means,1,2,1,-2.304828357,0.135,1,297.0457322,1,4,-2,3
6,visual,different_means,2,2,1,6.619791515,0.135,2,73.38620053,1,4,2,6
7,visual,different_means,2,1,0,-2.353851617,0.033,1,88.21645493,0,1,1,5
7,visual,different_means,1,1,1,-9.73680191,0.033,1,238.8269611,1,1,-1,4
7,visual,different_means,1,3,1,-5.457693656,0.135,1,154.8326336,1,4,-3,2
7,visual,different_means,1,2,1,-4.478576513,0.135,1,334.1138722,1,4,-2,3
7,visual,different_means,1,1,0,5.233747032,0.033,2,181.0300932,0,1,-1,4
7,visual,different_means,1,1,0,10.1488297,0.05,2,53.25629359,0,2,-1,4
8,visual,different_means,1,1,0,0.730973827,0.05,2,8.495319156,0,2,-1,4
8,visual,different_means,1,1,0,7.298118546,0.033,2,46.84849838,0,1,-1,4
8,visual,different_means,2,4,1,17.65204994,0.135,2,186.668254,1,4,4,8
8,visual,different_means,1,2,1,-7.978524844,0.067,1,86.42839176,1,3,-2,3
8,visual,different_means,1,1,0,-2.800387379,0.067,2,77.67400523,1,3,-1,4
8,visual,different_means,1,1,0,1.610600192,0.05,2,339.6389805,0,2,-1,4
1,visual,different_means,1,1,1,-0.334579226,0.05,1,71.03726422,1,2,-1,4
1,visual,different_means,1,1,1,-0.982855264,0.05,1,93.2652959,1,2,-1,4
1,visual,different_means,2,1,0,3.678074699,0.05,1,127.7018462,1,2,1,5
1,visual,different_means,2,1,1,-2.101703505,0.135,2,51.60004615,0,4,1,5
1,visual,different_means,1,1,0,7.278550122,0.05,2,127.9954091,0,2,-1,4
1,visual,different_means,1,1,0,-0.612182408,0.033,2,325.0563642,1,1,-1,4
2,visual,different_means,1,3,1,-8.594307749,0.067,1,265.5264866,1,3,-3,2
2,visual,different_means,2,2,0,2.554623097,0.067,1,241.7016871,1,3,2,6
2,visual,different_means,1,1,0,-1.864422457,0.05,2,146.922003,1,2,-1,4
2,visual,different_means,2,2,0,4.323444105,0.135,1,74.90741087,1,4,2,6
2,visual,different_means,2,1,0,3.489129447,0.033,1,93.38424367,1,1,1,5
2,visual,different_means,1,1,0,4.788895805,0.033,2,235.3864449,0,1,-1,4
3,visual,different_means,2,2,1,-2.013534131,0.05,2,170.6325016,0,2,2,6
3,visual,different_means,2,4,1,6.410435953,0.067,2,126.3957081,1,3,4,8
3,visual,different_means,1,1,1,-8.703803846,0.033,1,123.8569834,1,1,-1,4
3,visual,different_means,2,4,1,10.99344627,0.033,2,310.8179045,1,1,4,8
3,visual,different_means,2,1,0,4.709452906,0.033,1,315.2356863,1,1,1,5
3,visual,different_means,1,1,1,-5.742682851,0.033,1,280.7647853,1,1,-1,4
4,visual,different_means,1,2,1,-8.030203016,0.05,1,185.1371519,1,2,-2,3
4,visual,different_means,1,2,1,-15.02303412,0.05,1,217.9766127,1,2,-2,3
4,visual,different_means,2,1,0,-5.215566598,0.05,1,50.05615295,0,2,1,5
4,visual,different_means,1,1,0,0.342258892,0.033,2,282.3685259,0,1,-1,4
4,visual,different_means,2,1,1,-0.727483456,0.05,2,4.720499884,0,2,1,5
4,visual,different_means,1,1,1,-2.985747502,0.033,1,358.8914502,1,1,-1,4
5,visual,different_means,2,1,1,5.287480953,0.033,2,19.35468146,1,1,1,5
5,visual,different_means,1,1,1,-1.473651801,0.067,1,103.2944405,1,3,-1,4
5,visual,different_means,1,3,0,-8.000214606,0.135,2,180.3331874,1,4,-3,2
5,visual,different_means,2,2,0,0.168292235,0.05,1,341.1949705,1,2,2,6
5,visual,different_means,2,3,1,2.76006525,0.067,2,90.74255058,1,3,3,7
5,visual,different_means,1,1,0,3.194162622,0.033,2,339.3827895,0,1,-1,4
6,visual,different_means,1,2,1,-9.71618581,0.05,1,223.236978,1,2,-2,3
6,visual,different_means,2,1,1,-0.76611567,0.135,2,43.27951771,0,4,1,5
6,visual,different_means,2,1,1,9.016734296,0.05,2,315.5025467,1,2,1,5
6,visual,different_means,2,2,1,0.153712788,0.067,2,326.8331443,1,3,2,6
6,visual,different_means,2,2,1,1.306421156,0.05,2,334.8628394,1,2,2,6
6,visual,different_means,1,1,0,9.599418345,0.033,2,208.4094384,0,1,-1,4
7,visual,different_means,1,2,1,-17.16874449,0.05,1,212.0384621,1,2,-2,3
7,visual,different_means,2,2,1,3.840880243,0.135,2,229.3290533,1,4,2,6
7,visual,different_means,1,2,0,-2.774001175,0.135,2,31.24116097,1,4,-2,3
7,visual,different_means,1,2,1,-3.314420273,0.067,1,97.17726452,1,3,-2,3
7,visual,different_means,1,3,1,-7.403317958,0.067,1,94.70219218,1,3,-3,2
7,visual,different_means,2,2,0,4.563196646,0.067,1,274.738501,1,3,2,6
8,visual,different_means,1,4,1,-10.44706692,0.067,1,61.86860172,1,3,-4,1
8,visual,different_means,2,2,1,11.09794889,0.05,2,76.4285015,1,2,2,6
8,visual,different_means,2,2,1,3.067366341,0.067,2,217.3400049,1,3,2,6
8,visual,different_means,1,2,0,6.801825051,0.05,2,252.0214485,0,2,-2,3
8,visual,different_means,2,4,1,8.892895271,0.135,2,121.3935134,1,4,4,8
8,visual,different_means,1,2,0,-8.110605805,0.135,2,243.6460486,1,4,-2,3
1,visual,different_means,1,1,0,3.241869419,0.135,2,319.6170248,0,4,-1,4
1,visual,different_means,2,1,1,4.973997704,0.033,2,45.82265795,1,1,1,5
1,visual,different_means,1,1,0,2.85511706,0.135,2,45.46683238,0,4,-1,4
1,visual,different_means,1,1,1,-7.156794428,0.135,1,8.080876166,1,4,-1,4
1,visual,different_means,2,1,1,5.340936139,0.05,2,50.68566059,1,2,1,5
1,visual,different_means,1,1,1,-2.354719621,0.135,1,126.4875146,1,4,-1,4
2,visual,different_means,2,1,0,-0.022995179,0.033,1,142.9899706,0,1,1,5
2,visual,different_means,1,3,1,-5.573894561,0.067,1,274.165534,1,3,-3,2
2,visual,different_means,1,1,1,-0.559508871,0.05,1,106.2222863,1,2,-1,4
2,visual,different_means,1,1,0,3.843962657,0.067,2,32.11227451,0,3,-1,4
2,visual,different_means,1,1,1,-4.770912894,0.05,1,26.71257629,1,2,-1,4
2,visual,different_means,1,4,0,6.740586223,0.135,2,62.82713427,0,4,-4,1
3,visual,different_means,2,4,1,2.95976123,0.05,2,39.53733658,1,2,4,8
3,visual,different_means,2,3,0,-5.900167155,0.067,1,315.2976329,0,3,3,7
3,visual,different_means,2,1,1,5.014654832,0.033,2,149.1720652,1,1,1,5
3,visual,different_means,1,4,1,-5.861113974,0.067,1,57.28970025,1,3,-4,1
3,visual,different_means,2,4,1,9.896616814,0.05,2,90.23670732,1,2,4,8
3,visual,different_means,1,1,0,7.871159612,0.033,2,246.2445284,0,1,-1,4
4,visual,different_means,2,2,1,5.198370906,0.135,2,359.5046261,1,4,2,6
4,visual,different_means,2,1,1,-1.977105394,0.05,2,157.910779,0,2,1,5
4,visual,different_means,2,1,1,2.25221383,0.067,2,69.32924534,1,3,1,5
4,visual,different_means,1,2,0,-3.602344903,0.067,2,321.3922384,1,3,-2,3
4,visual,different_means,2,1,0,-8.013397913,0.033,1,332.3596581,0,1,1,5
4,visual,different_means,1,1,0,0.881527449,0.05,2,325.1152602,0,2,-1,4
5,visual,different_means,2,1,0,5.154001379,0.033,1,120.312233,1,1,1,5
5,visual,different_means,2,1,1,9.557603321,0.033,2,141.1195723,1,1,1,5
5,visual,different_means,2,2,1,4.805341228,0.033,2,220.4687172,1,1,2,6
5,visual,different_means,2,1,1,11.37485375,0.033,2,6.367819309,1,1,1,5
5,visual,different_means,1,1,1,-1.400533363,0.05,1,320.0489535,1,2,-1,4
5,visual,different_means,1,1,0,2.692606408,0.05,2,279.5929806,0,2,-1,4
6,visual,different_means,1,2,1,-0.432123083,0.067,1,332.2359062,1,3,-2,3
6,visual,different_means,2,3,1,13.26323614,0.05,2,36.09496843,1,2,3,7
6,visual,different_means,1,1,0,2.854283269,0.135,2,341.0504397,0,4,-1,4
6,visual,different_means,1,1,1,-0.629739726,0.05,1,324.9886421,1,2,-1,4
6,visual,different_means,1,1,1,2.790038096,0.033,1,114.6040878,0,1,-1,4
6,visual,different_means,1,2,1,-8.303798111,0.067,1,14.94098938,1,3,-2,3
7,visual,different_means,1,1,0,-1.488088377,0.05,2,131.4555313,1,2,-1,4
7,visual,different_means,1,1,0,1.386693989,0.135,2,3.51522158,0,4,-1,4
7,visual,different_means,1,1,0,1.319635698,0.05,2,220.7413825,0,2,-1,4
7,visual,different_means,1,1,0,0.431135269,0.033,2,33.23386353,0,1,-1,4
7,visual,different_means,2,1,1,11.47885065,0.033,2,261.8333994,1,1,1,5
7,visual,different_means,2,3,1,9.785741859,0.067,2,338.4309832,1,3,3,7
8,visual,different_means,2,3,1,5.515752087,0.067,2,322.0693693,1,3,3,7
8,visual,different_means,1,1,0,5.473836606,0.05,2,328.2915879,0,2,-1,4
8,visual,different_means,1,1,0,5.946913789,0.033,2,172.4700943,0,1,-1,4
8,visual,different_means,1,1,1,1.17465434,0.033,1,144.4153321,0,1,-1,4
8,visual,different_means,1,1,1,-1.165403714,0.033,1,38.78509972,1,1,-1,4
8,visual,different_means,1,1,1,-1.161149596,0.05,1,84.16305861,1,2,-1,4
1,visual,different_means,1,1,0,-4.006110469,0.05,2,272.5184388,1,2,-1,4
1,visual,different_means,1,1,1,1.900689982,0.033,1,309.0516485,0,1,-1,4
1,visual,different_means,1,1,0,2.016867165,0.033,2,100.6881776,0,1,-1,4
1,visual,different_means,2,1,0,2.554304893,0.135,1,146.4494038,1,4,1,5
1,visual,different_means,2,1,1,-2.196432253,0.05,2,134.9000189,0,2,1,5
1,visual,different_means,1,1,0,-4.749339525,0.033,2,42.93429606,1,1,-1,4
2,visual,different_means,1,4,0,-6.095364764,0.135,2,17.29482954,1,4,-4,1
2,visual,different_means,1,1,0,5.144050382,0.033,2,244.0528025,0,1,-1,4
2,visual,different_means,1,3,1,-10.70713939,0.067,1,181.4519007,1,3,-3,2
2,visual,different_means,2,3,1,2.496612344,0.135,2,252.3295817,1,4,3,7
