"","fitted","parameter","generating","NA","set"
"1",0.0761652454829782,"bound1",0.0744166738431755,"X1",1
"2",-0.094266090327487,"bound1",-0.080979669972957,"X1",1
"3",0.0933713627540868,"bound1",0.0945354681220156,"X1",1
"4",0.0857869622224312,"bound1",0.0837939978885179,"X1",1
"5",0.125726006454424,"bound1",0.124251298086134,"X1",1
"6",0.0885299280937697,"bound1",0.0875189932749701,"X1",1
"7",0.0638126433152341,"bound1",0.0729032886648918,"X1",1
"8",0.101872489828595,"bound1",0.106488503170074,"X1",1
"9",0.0854749442655484,"bound1",0.0857463331601581,"X1",1
"10",0.0437001481219451,"bound1",0.0490719077955625,"X1",1
"11",0.100383733608711,"bound1",0.0966997702228449,"X1",1
"12",0.0950493950901399,"bound1",0.0978244596407978,"X1",2
"13",0.0485725799596726,"bound1",0.0478763596345061,"X1",2
"14",-0.025102946798563,"bound1",-0.0286749777028599,"X1",2
"15",0.0424079291731747,"bound1",0.0503480994258316,"X1",2
"16",0.0725302223482797,"bound1",0.0687005719724421,"X1",2
"17",0.109762330386067,"bound1",0.110153270758878,"X1",2
"18",0.0161619502571665,"bound1",0.0206481770133385,"X1",2
"19",0.0295793853911467,"bound1",0.0320657193516425,"X1",2
"20",0.1324293554502,"bound1",0.132391765551331,"X1",2
"21",0.0663546092031772,"bound1",0.0722163571700679,"X1",2
"22",0.0899206308609084,"bound1",0.0837492256896238,"X1",2
"23",0.11552693932547,"bound1",0.118263179650317,"X1",3
"24",0.0530710033084652,"bound1",0.055171610792537,"X1",3
"25",0.112980188319707,"bound1",0.112333890182152,"X1",3
"26",0.13053898475282,"bound1",0.129323600818615,"X1",3
"27",0.0737071987440223,"bound1",0.0724075842630226,"X1",3
"28",0.108445982961035,"bound1",0.109912600285321,"X1",3
"29",0.0444163668774831,"bound1",0.0437714692880398,"X1",3
"30",0.0414773336941606,"bound1",0.0482588382210101,"X1",3
"31",-0.0387577737591708,"bound1",-0.0353417843954549,"X1",3
"32",0.106915265437332,"bound1",0.116747112866265,"X1",3
"33",0.0813033227108201,"bound1",0.0816276756249834,"X1",3
"34",0.124426074531836,"bound1",0.127055237733687,"X1",4
"35",0.0479746778673749,"bound1",0.0384804586689799,"X1",4
"36",0.0925498590228465,"bound1",0.0822298496870074,"X1",4
"37",0.0903541690633602,"bound1",0.0898210919918647,"X1",4
"38",0.088822277334377,"bound1",0.0844670832783417,"X1",4
"39",-0.0122893298043837,"bound1",-0.0126282188093498,"X1",4
"40",0.0402290968463939,"bound1",0.0471444806520213,"X1",4
"41",-0.0327042895244617,"bound2",-0.0323504077322836,"X2",4
"42",-0.324926451050754,"bound2",-0.312394581866114,"X2",4
"43",-0.335457739732294,"bound2",-0.32737347177242,"X2",4
"44",-0.199384707126119,"bound2",-0.197526347513986,"X2",4
"45",-0.22113614853371,"bound2",-0.224802729425765,"X2",5
