"","fitted","parameter","generating","NA","set"
"1",0.128008402837501,"bound1",0.124425492702173,"X1",1
"2",0.140964716790824,"bound1",0.125438059876601,"X1",1
"3",0.0520784082698712,"bound1",0.0538055268500915,"X1",1
"4",0.0812322260975154,"bound1",0.0776833229474682,"X1",1
"5",0.0501842315200291,"bound1",0.0521982663182656,"X1",1
"6",0.0390277594961796,"bound1",0.0245774750447549,"X1",1
"7",0.13732818433289,"bound1",0.133745564159501,"X1",1
"8",0.110627260230542,"bound1",0.128715620396565,"X1",1
"9",0.125350344521913,"bound1",0.124740800736227,"X1",1
"10",0.0587646358582486,"bound1",0.0629447521486318,"X1",1
"11",0.0787175896923979,"bound1",0.0944266816780183,"X1",1
"12",-0.0775092996292261,"bound1",-0.0718147770491323,"X1",2
"13",-0.00850625603638843,"bound1",-0.0143231666079194,"X1",2
"14",0.1085267930702,"bound1",0.107933500612383,"X1",2
"15",-0.0116364995749325,"bound1",-0.0114863612139906,"X1",2
"16",-0.00644825028290349,"bound1",-0.00606961284648699,"X1",2
"17",0.124465941525692,"bound1",0.118799316670296,"X1",2
"18",0.100954457971052,"bound1",0.098104011271315,"X1",2
"19",0.130228148745353,"bound1",0.134840186244312,"X1",2
"20",0.140440108670669,"bound1",0.135450827886759,"X1",2
"21",0.0637195069145741,"bound1",0.0726880429561726,"X1",2
"22",0.109050346677011,"bound1",0.104197774255666,"X1",2
"23",0.11349315729015,"bound1",0.104519463776239,"X1",3
"24",0.0820197231712201,"bound1",0.0930498032439501,"X1",3
"25",0.096593921922801,"bound1",0.0950856938333263,"X1",3
"26",0.0874285281478314,"bound1",0.111204786679426,"X1",3
"27",0.0631771274150924,"bound1",0.0668781809856687,"X1",3
"28",0.10616774397908,"bound1",0.107402825953958,"X1",3
"29",0.0985336705106398,"bound1",0.0929707094742209,"X1",3
"30",-0.0503567797924186,"bound1",-0.0595333446578086,"X1",3
"31",0.140880935242918,"bound1",0.1311540847208,"X1",3
"32",0.0926400295418564,"bound1",0.0958524851425829,"X1",3
"33",0.0568102643963954,"bound1",0.0786828577294119,"X1",3
"34",0.111767689501028,"bound1",0.092409363976693,"X1",4
"35",0.0186301909454291,"bound1",0.00861085823531127,"X1",4
"36",0.117949649562257,"bound1",0.119775552557479,"X1",4
"37",0.127880670461587,"bound1",0.132349070323519,"X1",4
"38",0.107791428126306,"bound1",0.104652083552837,"X1",4
"39",0.103654378140278,"bound1",0.0891964330938398,"X1",4
"40",0.0781053592680397,"bound1",0.084112640547968,"X1",4
"41",-0.189442247697911,"bound2",-0.193392882488122,"X2",4
"42",-0.000361525514704179,"bound2",-0.000547037263191455,"X2",4
"43",-0.416274777599598,"bound2",-0.445145322083515,"X2",4
"44",-0.326225309180452,"bound2",-0.313718312616069,"X2",4
"45",-0.439356180645324,"bound2",-0.423919866073996,"X2",5
"46",-0.306075179134942,"bound2",-0.264573799502702,"X2",5
"47",-0.00269268550008405,"bound2",-0.00278350853827926,"X2",5
"48",-0.0912583280735013,"bound2",-0.0913444751876721,"X2",5
"49",-0.171082132512379,"bound2",-0.165444825228897,"X2",5
"50",-0.371512411155062,"bound2",-0.318582961909845,"X2",5
"51",-0.0398508454700222,"bound2",-0.0382314405430827,"X2",5
"52",-0.0867441383663882,"bound2",-0.0808199774897902,"X2",5
"53",-0.0567083219347934,"bound2",-0.0568339147701885,"X2",5
"54",-0.229332393364083,"bound2",-0.208978865146509,"X2",5
"55",-0.185021342174258,"bound2",-0.219294031700324,"X2",5
"56",-0.0288662960735781,"bound2",-0.0297114151027045,"X2",6
"57",-0.177714934215381,"bound2",-0.181656484413282,"X2",6
"58",-0.079026716306907,"bound2",-0.0806435971140174,"X2",6
"59",-0.244921632015666,"bound2",-0.278486548527862,"X2",6
"60",-0.50716500100229,"bound2",-0.492250964540812,"X2",6
"61",-0.297831686660806,"bound2",-0.295080871137757,"X2",6
"62",-0.296562656188732,"bound2",-0.285095352018964,"X2",6
"63",-0.089782999610571,"bound2",-0.0849399972905029,"X2",6
"64",-0.0123560125395596,"bound2",-0.0159122253729512,"X2",6
"65",-0.0681158407294798,"bound2",-0.0542533819668746,"X2",6
"66",-0.234014842999229,"bound2",-0.260671652261704,"X2",6
"67",-0.210847302426801,"bound2",-0.196803734031861,"X2",7
"68",-0.0429853636593203,"bound2",-0.0406673033591187,"X2",7
"69",-0.332333732290903,"bound2",-0.32174493968771,"X2",7
"70",-0.143343851288561,"bound2",-0.14537700886381,"X2",7
"71",-0.00973039284783587,"bound2",-0.00899546510795047,"X2",7
"72",-0.036566732778271,"bound2",-0.0406147617299372,"X2",7
"73",-0.206714027297709,"bound2",-0.22464421801091,"X2",7
"74",-0.0277123374362134,"bound2",-0.0204033358468644,"X2",7
"75",-0.023168504572237,"bound2",-0.0209736694927742,"X2",7
"76",-0.0612298905734875,"bound2",-0.0675947026680142,"X2",7
"77",-0.234066414389056,"bound2",-0.222476579895908,"X2",7
"78",-0.102439310627261,"bound2",-0.10057470109207,"X2",8
"79",-0.0124631335938981,"bound2",-0.00932744320572829,"X2",8
"80",-0.358202430309878,"bound2",-0.298639713667454,"X2",8
"81",-0.210913389389785,"bound3",-0.205879735377922,"X3",8
"82",-0.485721307186562,"bound3",-0.437160882865229,"X3",8
"83",-0.222163054701954,"bound3",-0.304626047388121,"X3",8
"84",-0.146770896388828,"bound3",-0.160448806055059,"X3",8
"85",-0.34008878876113,"bound3",-0.327494815153126,"X3",8
"86",-0.519496174347367,"bound3",-0.516384411473942,"X3",8
