"","parameter","cor(generating, fitted)"
"1","bound1",0.827213874485179
"2","bound2",0.790589650077447
"3","bound3",0.821310892653721
"4","bound4",0.728976886222608
"5","bound5",0.347684972377713
"6","bound6",0.571613168694545
"7","bound7",0.10068017739532
"8","cat1_sigma",0.0901784468143828
"9","cat2_sigma",-0.0358447101905364
"10","sigma1",0.828831699069301
"11","sigma2",0.750301346516557
"12","sigma3",0.828214250252943
"13","sigma4",0.931009239631746
