"","parameter","cor(generating, fitted)"
"1","exp",0.932002169586951
"2","k1",0.990679988071048
"3","k2",0.987780089274351
"4","k3",0.987914452237191
"5","k4",0.951531421320042
"6","k5",0.91180736935315
"7","k6",0.94973588016318
"8","k7",0.885258170832837
"9","m1",0.990636997544877
"10","m2",0.979395795421367
"11","m3",0.973106017364394
"12","m4",0.972459732207669
"13","m5",0.958473583402336
"14","m6",0.90862936719285
"15","m7",0.779792954292252
"16","sigma1",0.941517893970218
"17","sigma2",0.954950357612407
"18","sigma3",0.989475113034204
"19","sigma4",0.992355461536889
