"","parameter","cor(generating, fitted)"
"1","exp",0.870119411562857
"2","k1",0.988342122953913
"3","k2",0.961782401746903
"4","k3",0.967888300624344
"5","k4",0.926967522470162
"6","k5",0.884757442087484
"7","k6",0.929850290638092
"8","k7",0.839845307688078
"9","m1",0.961611676765485
"10","m2",0.892705297853346
"11","m3",0.911383633723882
"12","m4",0.953209067029701
"13","m5",0.769795209490976
"14","m6",0.870266901302866
"15","m7",0.616539064619991
"16","psi",0.466653137155866
"17","sigma1",0.896830742137443
"18","sigma2",0.818606012374661
"19","sigma3",0.933906005064669
"20","sigma4",0.952730161563338
