"","parameter","cor(generating, fitted)"
"1","bound1",0.955796834088559
"2","bound2",0.980334117714387
"3","bound3",0.961380963099358
"4","bound4",0.959706532232313
"5","bound5",0.286978809631616
"6","bound6",0.726032302143162
"7","bound7",0.399065038112376
"8","psi",0.599504643504512
"9","sigma1",0.532121493386797
"10","sigma2",0.638294127206522
"11","sigma3",0.73153752509281
"12","sigma4",0.96361607594837
