"","parameter","cor(generating, fitted)"
"1","k1",0.976509128018643
"2","k2",0.976655221328489
"3","k3",0.97662850093062
"4","k4",0.923437936530457
"5","k5",0.708810329242759
"6","k6",0.65753461878038
"7","k7",0.462183253322219
"8","m1",0.971700327363526
"9","m2",0.957651051992961
"10","m3",0.988087960670596
"11","m4",0.928467080772947
"12","m5",0.75382097768446
"13","m6",0.492129801204965
"14","m7",0.430442154672747
"15","sigma1",0.774521455408557
"16","sigma2",0.904667754002849
"17","sigma3",0.948294629619089
"18","sigma4",0.970946355974864
