"","parameter","cor(generating, fitted)"
"1","bound1",0.989936113871092
"2","bound2",0.984748480877867
"3","bound3",0.935439645225887
"4","bound4",0.889478870324524
"5","bound5",0.345954882369738
"6","bound6",0.607563612454043
"7","bound7",0.556738086495774
"8","psi",0.429269927902047
"9","sigma1",0.800249459622596
"10","sigma2",0.813522012409098
"11","sigma3",0.940986480637072
"12","sigma4",0.934468058677262
