"","parameter","cor(generating, fitted)"
"1","k1",0.996924153108815
"2","k2",0.995970777661245
"3","k3",0.987787063428559
"4","k4",0.987803911191388
"5","k5",0.984331565273844
"6","k6",0.970720191642815
"7","k7",0.951355424066212
"8","m1",0.989516661146203
"9","m2",0.991654001180586
"10","m3",0.99181654712579
"11","m4",0.993985949065096
"12","m5",0.97256816905378
"13","m6",0.918695842525167
"14","m7",0.783976366245653
"15","sigma1",0.944783724929496
"16","sigma2",0.971953823879996
"17","sigma3",0.984798544228232
"18","sigma4",0.993973933643769
