"","parameter","cor(generating, fitted)"
"1","k1",0.989580863617819
"2","k2",0.98002102879888
"3","k3",0.973437706551232
"4","k4",0.966068105003866
"5","k5",0.939972203291363
"6","k6",0.9089955388945
"7","k7",0.713878034430457
"8","m1",0.986297993468252
"9","m2",0.968022314790629
"10","m3",0.985211142367679
"11","m4",0.967506373452246
"12","m5",0.954278564703764
"13","m6",0.817351370223805
"14","m7",0.618822992057838
"15","sigma1",0.90627904036486
"16","sigma2",0.95465787330965
"17","sigma3",0.945067401375713
"18","sigma4",0.979531534878236
